序号,点名,N,E,Z,B,L,H,天线高,σN,σE,σZ,平滑次数,解类型,开始本地时间,结束本地时间,开始UTC时间,结束UTC时间,描述,差分龄期,卫星数,公共卫星数,PDOP,截止高度角(°),基站B,基站L,基站H,里程,竖直倾角,倾斜向量方位角
1,B021114,3739034.2052,503415.2188,722.0077," 33:46:25.44062"," 112:02:17.21946",702.8252,2.5100,0.0013,0.0027,0.0115,10,已知坐标,2017-02-11 14:53:11,2017-02-11 14:53:20,2017-02-11 06:53:11,2017-02-11 06:53:20,set_base,46.0,28,18,1.2000,15," 00:00:00.00000"," 00:00:00.00000",0.0000,0.0000," 00:00:00",
2,B21115,3738891.7820,503458.6830,732.4415," 33:46:20.81813"," 112:02:18.90605",713.2590,2.5100,0.0090,0.0070,0.0160,1,RTK固定解,2017-02-11 14:57:10,2017-02-11 14:57:10,2017-02-11 06:57:10,2017-02-11 06:57:10,,1.0,29,23,1.2000,15," 33:46:25.44062"," 112:02:17.21946",707.8452,0.0000," 00:00:00",
3,B21116,3738786.6750,503299.3358,737.4205," 33:46:17.40941"," 112:02:12.71233",718.2380,2.5100,0.0100,0.0090,0.0210,1,RTK固定解,2017-02-11 15:00:53,2017-02-11 15:00:53,2017-02-11 07:00:53,2017-02-11 07:00:53,,1.0,24,21,1.2000,15," 33:46:25.44062"," 112:02:17.21946",707.8452,0.0000," 00:00:00",
4,1,3739057.3508,503443.6858,724.3635," 33:46:26.19134"," 112:02:18.32606",705.1810,2.5100,0.0060,0.0050,0.0120,1,RTK固定解,2017-02-11 15:22:13,2017-02-11 15:22:13,2017-02-11 07:22:13,2017-02-11 07:22:13,,1.0,27,23,1.2000,15," 33:46:25.44062"," 112:02:17.21946",707.8452,0.0000," 00:00:00",
5,2,3739108.3507,503519.1224,723.0415," 33:46:27.84531"," 112:02:21.25835",703.8590,2.5100,0.0070,0.0060,0.0140,1,RTK固定解,2017-02-11 15:24:59,2017-02-11 15:24:59,2017-02-11 07:24:59,2017-02-11 07:24:59,,1.0,27,24,1.2000,15," 33:46:25.44062"," 112:02:17.21946",707.8452,0.0000," 00:00:00",
6,3,3739100.8993,503519.6675,723.2665," 33:46:27.60349"," 112:02:21.27940",704.0840,2.5100,0.0070,0.0060,0.0140,1,RTK固定解,2017-02-11 15:25:08,2017-02-11 15:25:08,2017-02-11 07:25:08,2017-02-11 07:25:08,,1.0,27,22,1.3000,15," 33:46:25.44062"," 112:02:17.21946",707.8452,0.0000," 00:00:00",
7,4,3739093.4216,503519.8667,723.4455," 33:46:27.36082"," 112:02:21.28701",704.2630,2.5100,0.0080,0.0060,0.0150,1,RTK固定解,2017-02-11 15:25:18,2017-02-11 15:25:18,2017-02-11 07:25:18,2017-02-11 07:25:18,,1.0,27,21,1.3000,15," 33:46:25.44062"," 112:02:17.21946",707.8452,0.0000," 00:00:00",
8,5,3739086.0773,503520.8769,723.2325," 33:46:27.12247"," 112:02:21.32615",704.0500,2.5100,0.0130,0.0100,0.0270,1,RTK固定解,2017-02-11 15:25:30,2017-02-11 15:25:30,2017-02-11 07:25:30,2017-02-11 07:25:30,,1.0,26,17,1.9000,15," 33:46:25.44062"," 112:02:17.21946",707.8452,0.0000," 00:00:00",
9,6,3739073.5720,503523.4764,722.7215," 33:46:26.71661"," 112:02:21.42695",703.5390,2.5100,0.0070,0.0070,0.0150,1,RTK固定解,2017-02-11 15:25:44,2017-02-11 15:25:44,2017-02-11 07:25:44,2017-02-11 07:25:44,,1.0,24,19,1.6000,15," 33:46:25.44062"," 112:02:17.21946",707.8452,0.0000," 00:00:00",
10,7,3739054.6762,503526.9915,722.7195," 33:46:26.10336"," 112:02:21.56322",703.5370,2.5100,0.0070,0.0070,0.0160,1,RTK固定解,2017-02-11 15:26:02,2017-02-11 15:26:02,2017-02-11 07:26:02,2017-02-11 07:26:02,,1.0,25,16,1.8000,15," 33:46:25.44062"," 112:02:17.21946",707.8452,0.0000," 00:00:00",
11,8,3739053.5930,503528.0716,721.2105," 33:46:26.06820"," 112:02:21.60517",702.0280,2.5100,0.0070,0.0060,0.0130,1,RTK固定解,2017-02-11 15:26:16,2017-02-11 15:26:16,2017-02-11 07:26:16,2017-02-11 07:26:16,,1.0,26,22,1.3000,15," 33:46:25.44062"," 112:02:17.21946",707.8452,0.0000," 00:00:00",
12,9,3739050.7357,503529.4967,721.0975," 33:46:25.97545"," 112:02:21.66050",701.9150,2.5100,0.0060,0.0060,0.0130,1,RTK固定解,2017-02-11 15:26:23,2017-02-11 15:26:23,2017-02-11 07:26:23,2017-02-11 07:26:23,,1.0,27,24,1.2000,15," 33:46:25.44062"," 112:02:17.21946",707.8452,0.0000," 00:00:00",
13,10,3739033.4565,503532.7212,720.0025," 33:46:25.41466"," 112:02:21.78551",700.8200,2.5100,0.0070,0.0060,0.0140,1,RTK固定解,2017-02-11 15:26:40,2017-02-11 15:26:40,2017-02-11 07:26:40,2017-02-11 07:26:40,,1.0,26,19,1.4000,15," 33:46:25.44062"," 112:02:17.21946",707.8452,0.0000," 00:00:00",
14,11,3739014.2100,503535.2710,719.4325," 33:46:24.79004"," 112:02:21.88426",700.2500,2.5100,0.0070,0.0070,0.0150,1,RTK固定解,2017-02-11 15:27:02,2017-02-11 15:27:02,2017-02-11 07:27:02,2017-02-11 07:27:02,,1.0,26,18,1.5000,15," 33:46:25.44062"," 112:02:17.21946",707.8452,0.0000," 00:00:00",
15,12,3739010.6912,503536.0725,719.6375," 33:46:24.67584"," 112:02:21.91534",700.4550,2.5100,0.0070,0.0060,0.0140,1,RTK固定解,2017-02-11 15:27:16,2017-02-11 15:27:16,2017-02-11 07:27:16,2017-02-11 07:27:16,,1.0,27,21,1.4000,15," 33:46:25.44062"," 112:02:17.21946",707.8452,0.0000," 00:00:00",
16,13,3739004.6425,503538.5773,719.7245," 33:46:24.47951"," 112:02:22.01258",700.5420,2.5100,0.0090,0.0080,0.0200,1,RTK固定解,2017-02-11 15:27:27,2017-02-11 15:27:27,2017-02-11 07:27:27,2017-02-11 07:27:27,,1.0,20,16,2.9000,15," 33:46:25.44062"," 112:02:17.21946",707.8452,0.0000," 00:00:00",
